"Parameter","Parameter.Code","Duration.Code","AQI.Category","Low.AQI","High.AQI","Low.Breakpoint","High.Breakpoint"
"CO",42101,"Z","GOOD",0,50,0,4.4
"CO",42101,"Z","MODERATE",51,100,4.5,9.4
"CO",42101,"Z","UNHEALTHY FOR SENSITIVE",101,150,9.5,12.4
"CO",42101,"Z","UNHEALTHY",151,200,12.5,15.4
"CO",42101,"Z","VERY UNHEALTHY",201,300,15.5,30.4
"CO",42101,"Z","HAZARDOUS",301,400,30.5,40.4
"CO",42101,"Z","HAZARDOUS",401,500,40.5,50.4
"CO",42101,"Z","HAZARDOUS",501,999,50.5,99999
"NO2",42602,"1","GOOD",0,50,0,53
"NO2",42602,"1","MODERATE",51,100,54,100
"NO2",42602,"1","UNHEALTHY FOR SENSITIVE",101,150,101,360
"NO2",42602,"1","UNHEALTHY",151,200,361,649
"NO2",42602,"1","VERY UNHEALTHY",201,300,650,1249
"NO2",42602,"1","HAZARDOUS",301,400,1250,1649
"NO2",42602,"1","HAZARDOUS",401,500,1650,2049
"NO2",42602,"1","HAZARDOUS",501,999,2050,99999
"O3",44201,"W","NONE",-1,-1,0.505,99999
"O3",44201,"W","GOOD",0,50,0,0.054
"O3",44201,"W","MODERATE",51,100,0.055,0.07
"O3",44201,"W","UNHEALTHY FOR SENSITIVE",101,150,0.071,0.085
"O3",44201,"W","UNHEALTHY",151,200,0.086,0.105
"O3",44201,"W","VERY UNHEALTHY",201,300,0.106,0.2
"SO2",42401,"X","NONE",0,200,0,304
"SO2",42401,"X","VERY UNHEALTHY",201,300,305,604
"SO2",42401,"X","HAZARDOUS",301,400,605,804
"SO2",42401,"X","HAZARDOUS",401,500,805,1004
"SO2",42401,"X","HAZARDOUS",501,999,1005,99999
